codigo,nombre,cantidad_disponible,precio,fecha_vencimiento,dosis
001,Paracetamol,120,1.50,2026-12-31,500mg
002,Ibuprofeno,80,2.00,2025-11-15,400mg
003,Loratadina,60,1.80,2025-10-10,10mg
004,Omeprazol,100,2.20,2026-01-20,20mg
005,Amoxicilina,75,3.00,2025-09-01,500mg
006,Metformina,200,0.90,2026-07-30,850mg
007,Atorvastatina,90,2.50,2025-12-05,20mg
008,Cetirizina,50,1.70,2026-03-15,10mg
009,Salbutamol,40,2.80,2025-08-20,100mcg
010,Losartan,150,1.95,2026-05-10,50mg
011,Simvastatina,130,2.30,2027-02-14,20mg
012,Aspirina,110,1.20,2025-10-30,100mg
013,Clorfenamina,90,1.80,2026-09-12,4mg
014,Dextrometorfano,75,3.10,2026-11-19,15mg
015,Ranitidina,85,2.20,2026-12-21,150mg
016,Enalapril,120,2.50,2026-06-10,10mg
017,Furosemida,95,1.90,2026-07-11,40mg
018,Prednisona,80,2.60,2026-08-05,20mg
019,Naproxeno,70,1.70,2026-09-15,550mg
020,Diclofenaco,60,2.40,2026-10-21,50mg
021,Levotiroxina,50,2.80,2027-01-10,100mcg
022,Hidroclorotiazida,45,1.60,2026-04-11,25mg
023,Warfarina,40,3.20,2026-05-15,5mg
024,Clopidogrel,55,3.00,2026-06-18,75mg
025,Fluoxetina,65,2.10,2027-03-22,20mg
026,Sertralina,70,2.50,2027-04-20,50mg
027,Diazepam,50,1.50,2027-05-10,5mg
028,Lorazepam,45,1.70,2026-12-25,2mg
029,Tramadol,60,2.80,2027-07-15,50mg
030,Metoclopramida,55,1.90,2027-08-12,10mg
031,Albendazol,40,3.10,2027-09-05,400mg
032,Metronidazol,70,1.80,2027-10-10,500mg
033,Ciprofloxacino,60,2.20,2027-11-20,500mg
034,Claritromicina,50,2.70,2027-12-15,500mg
035,Azitromicina,45,3.00,2028-01-22,500mg
036,Hidroxicloroquina,55,1.60,2028-02-18,200mg
037,Amlodipino,60,1.90,2028-03-25,5mg
038,Clonazepam,50,2.50,2028-04-15,2mg
039,Oxcarbazepina,40,2.80,2028-05-20,300mg
040,Lamotrigina,55,3.10,2028-06-12,100mg
041,Gabapentina,45,2.00,2028-07-01,300mg
042,Pregabalina,60,2.30,2028-08-05,75mg
043,Levetiracetam,50,1.90,2028-09-10,500mg
044,Topiramato,40,2.20,2028-10-15,100mg
045,Valproato,55,3.20,2028-11-20,500mg
046,Fenitoina,45,2.40,2028-12-25,100mg
047,Hidroxizina,50,1.80,2029-01-30,10ml
048,Montelukast,60,2.60,2029-02-28,10mg
049,Rivaroxaban,55,3.30,2029-03-25,20mg
050,Dabigatran,40,2.90,2029-04-20,150mg
050,arcoxia,0,2.90,2029-04-20,120mg
051,Interferon,30,4.00,2030-06-20,3mg
052,Linezolid,40,3.80,2029-05-21,10mg
053,Vancomicina,45,4.10,2029-02-02,500mg
054,Meropenem,35,4.30,2029-09-18,1mg
055,Imipenem,30,4.50,2029-10-21,500mg
056,Colistina,25,4.70,2029-04-02,75mg
057,Tigeciclina,30,4.90,2029-12-20,50mg
058,Daptomicina,20,5.00,2029-08-15,500mg
059,Clindamicina,45,2.70,2029-07-28,300mg
060,Lincomicina,35,2.80,2029-04-20,600mg
061,Budesonida,50,3.86,2027-05-04,200mcg
062,Tiotropio,85,4.55,2026-12-09,18mcg
063,Formoterol,31,2.34,2027-03-14,12mcg
064,Beclometasona,99,4.17,2026-12-24,100mcg
065,Insulina Glargina,26,4.25,2026-06-23,100ml
066,Insulina Lispro,32,1.93,2028-02-13,100ml
067,Insulina NPH,54,3.82,2026-09-14,100ml
068,Glibenclamida,28,4.91,2027-06-26,5mg
069,Gliclazida,147,3.22,2027-10-31,30mg
070,Pioglitazona,45,2.47,2028-09-08,15mg
071,Sitagliptina,81,2.17,2028-09-07,100mg
072,Linagliptina,91,3.9,2028-05-12,5mg
073,Empagliflozina,148,4.33,2028-01-16,10mg
074,Dapagliflozina,101,3.71,2027-03-09,10mg
075,Canagliflozina,122,4.75,2026-10-01,100mg
076,Exenatida,62,3.14,2027-08-20,2mg
077,Liraglutida,22,3.2,2028-07-08,6ml
078,Alprazolam,141,2.2,2026-07-27,0.5mg
079,Buspirona,150,1.93,2027-05-05,10mg
080,Zolpidem,92,2.19,2026-12-14,10mg
081,Risperidona,49,1.78,2027-01-19,2mg
082,Olanzapina,28,3.16,2027-01-06,5mg
083,Quetiapina,92,4.38,2027-02-12,25mg
084,Aripiprazol,39,3.69,2028-08-25,10mg
085,Haloperidol,142,3.77,2028-04-15,5mg
086,Amisulprida,68,4.25,2028-07-28,400mg
087,Clozapina,100,3.47,2027-05-18,25mg
088,Paliperidona,31,2.45,2028-01-06,6mg
089,Ziprasidona,108,2.42,2026-10-29,40mg
090,Lurasidona,40,4.82,2028-08-05,20mg
091,Circulon215,147,2.72,2027-10-09,100mg
092,Artrovil667,91,4.45,2027-08-19,20mcg
093,Nephrosan466,31,2.02,2027-03-03,25ml
094,Nephrosan929,81,4.96,2026-09-08,10ml
095,Nerviox287,28,3.2,2028-09-08,20ml
096,Digestal448,108,3.63,2026-07-06,5mg
097,Urinex327,95,2.71,2028-01-01,20mg
098,Glucorex336,136,3.39,2027-07-28,200mg
099,Medicina859,48,1.96,2027-09-05,50ml
100,Digestal978,68,3.48,2028-03-29,100mg
101,Mucodex127,68,4.9,2026-08-14,500mcg
102,Pancrelux757,142,4.32,2028-08-18,10ml
103,Artrovil392,61,1.87,2027-12-14,100ml
104,Oncofort568,108,3.36,2027-10-17,400mcg
105,Gastrovil212,118,4.52,2026-08-31,50ml
106,Cardiox116,20,3.29,2027-03-20,100UI/ml
107,Digestal744,65,2.55,2028-02-26,400mg
108,Gastrovil147,58,3.64,2028-09-03,400ml
109,Vasopril771,53,1.65,2028-04-27,400mg
110,Tensofix51,82,1.58,2028-04-29,10ml
111,Vasopril402,63,2.93,2026-09-07,200ml
112,Musclexin636,94,2.03,2028-01-13,25mcg
113,Circulon371,133,3.03,2027-07-28,500mg
114,Neurodex395,145,1.65,2027-04-14,200ml
115,Vasopril679,114,3.51,2027-11-30,200mg
116,Oftalex620,79,4.97,2027-11-20,20ml
117,Urinex780,100,2.52,2026-06-05,250mg
118,Vasopril729,85,2.06,2027-03-22,20mg
119,Hepaxin821,65,4.91,2027-01-26,20mg
120,Lipidol875,39,3.4,2027-04-21,20ml
121,Farmadol267,92,2.17,2027-02-22,5ml
122,Inmunix253,68,2.54,2027-08-02,250mg
123,Thyrovit546,69,2.42,2026-09-22,500mg
124,Lipidol233,131,4.5,2028-03-08,200ml
125,Medicina632,65,2.2,2027-12-12,400mcg
126,Rinoflux696,101,3.29,2027-01-07,50mg
127,Neurodex268,123,4.92,2027-03-04,50mcg
128,Medicina561,47,3.72,2028-04-18,25mg
129,Gastrovil142,93,2.63,2027-07-01,5mcg
130,Inmunix712,22,4.46,2027-06-16,500ml
131,Cardiox77,77,2.9,2027-01-17,10ml
132,Neurodex942,101,2.24,2027-12-11,5ml
133,Circulon737,92,4.22,2027-01-14,200mcg
134,Artrovil672,68,2.83,2027-03-29,400mcg
135,Medicina980,90,3.33,2026-07-10,100mg
136,Circulon461,140,4.64,2027-09-10,500ml
137,Gastrovil555,74,2.62,2028-07-05,20mg
138,Thyrovit529,32,3.43,2026-08-11,5mcg
139,Dermacure264,128,4.58,2027-07-06,50ml
140,Neurodex17,39,2.92,2027-07-07,10ml
141,Farmadol747,37,1.58,2027-05-26,200mg
142,Farmadol264,77,4.89,2027-08-30,100ml
143,Urinex967,126,2.03,2028-08-25,20mcg
144,Pulmovit834,65,2.38,2028-05-25,5ml
145,Urinex244,76,2.85,2028-08-16,250mg
146,Farmadol880,144,4.89,2027-10-13,200ml
147,Dermacure134,23,2.86,2028-05-11,20ml
148,Oftalex7,87,1.94,2026-08-17,500ml
149,Dermacure165,118,4.8,2027-04-22,20mcg
150,Lipidol904,53,4.84,2026-08-07,10mcg
151,Neurodex12,120,2.4,2027-10-04,200mg
152,Nephrosan28,137,2.08,2026-06-10,500ml
153,Bronkocil888,89,4.8,2027-01-21,400mcg
154,Inmunix216,66,1.56,2027-11-11,20ml
155,Artrovil532,47,3.63,2026-06-07,50mg
156,Artrovil285,135,4.59,2028-02-02,250mg
157,Glucorex121,99,1.81,2028-04-09,10mg
158,Pancrelux226,47,1.57,2026-07-05,400ml
159,Lipidol858,58,2.18,2027-10-04,250ml
160,Neurodex635,129,3.25,2028-07-16,250ml
161,Nephrosan382,77,3.52,2027-06-05,50mg
162,Musclexin893,60,3.69,2028-01-19,10ml
163,Vasopril86,81,1.54,2026-08-29,50mcg
164,Nerviox428,113,4.45,2026-12-01,25mg
165,Nephrosan808,40,3.3,2026-06-05,5ml
166,Farmadol583,30,2.97,2028-03-22,50mg
167,Musclexin112,128,3.95,2028-07-06,10ml
168,Osteofix910,30,3.46,2026-10-15,20mg
169,Urinex87,111,4.88,2026-08-17,50mg
170,Nerviox465,123,3.73,2026-09-11,25ml
171,Dermacure72,91,1.89,2027-12-08,100ml
172,Inmunix484,71,3.91,2027-03-03,20mg
173,Tensofix144,84,2.16,2026-07-26,250ml
174,Gastrovil737,117,1.53,2027-05-14,10mcg
175,Dermacure340,109,3.68,2028-03-29,25ml
176,Inmunix878,104,1.72,2027-12-28,5ml
177,Musclexin160,25,1.6,2028-08-12,400ml
178,Farmadol145,90,4.9,2027-05-11,400mg
179,Nephrosan876,45,4.84,2027-04-22,5mcg
180,Cardiox643,22,4.27,2028-04-17,500mcg
181,Cefradol993,58,4.7,2027-05-16,200ml
182,Farmadol278,115,2.88,2028-07-19,500ml
183,Farmadol73,49,2.42,2027-04-03,400mg
184,Hepaxin819,105,1.79,2026-09-09,10ml
185,Artrovil512,109,3.98,2026-06-14,200ml
186,Gastrovil418,88,2.63,2026-06-18,500ml
187,Oncofort530,37,3.51,2028-07-31,100ml
188,Thyrovit89,78,3.94,2027-11-25,250ml
189,Artrovil20,126,3.34,2028-02-16,50mg
190,Respiron986,84,2.54,2027-10-02,20ml
191,Bronkocil533,40,4.04,2026-09-30,10mg
192,Dermacure823,125,2.38,2027-12-24,5ml
193,Glucorex334,78,2.82,2027-06-25,5mg
194,Medicina380,25,4.01,2028-01-23,25ml
195,Pancrelux790,121,4.23,2028-03-04,10mcg
196,Glucorex109,42,4.01,2028-07-17,500mg
197,Hepaxin922,121,2.59,2028-03-06,250mg
198,Medicina942,57,4.13,2027-11-21,25mg
199,Pancrelux46,67,4.07,2026-06-08,400ml
200,Pancrelux11,137,3.7,2027-08-06,250mg
201,Glucorex242,85,4.93,2027-12-07,200mcg
202,Oftalex417,35,2.97,2027-12-26,250mg
203,Gastrovil675,46,4.94,2028-06-01,400ml
204,Rinoflux114,129,2.07,2026-09-07,250mcg
205,Osteofix140,101,1.55,2028-06-20,250ml
206,Nerviox916,144,2.5,2027-09-11,50ml
207,Inmunix911,28,4.53,2027-02-07,100ml
208,Pancrelux629,90,2.53,2027-11-20,100mg
209,Vasopril534,69,2.64,2028-06-11,25mg
210,Glucorex460,137,4.9,2027-04-07,10ml
211,Cardiox677,68,3.37,2027-07-10,250mg
212,Oncofort937,86,2.66,2028-05-05,200ml
213,Hepaxin87,39,2.09,2028-04-25,50ml
214,Nerviox557,106,4.46,2027-01-07,200mcg
215,Thyrovit822,68,3.2,2028-06-24,500ml
216,Vasopril76,31,2.43,2028-05-18,50mg
217,Respiron675,109,1.67,2027-06-11,200ml
218,Inmunix340,88,3.61,2027-02-19,5ml
219,Respiron799,78,1.54,2028-03-02,100mcg
220,Medicina5,66,4.62,2027-07-02,250mg
221,Mucodex745,115,3.19,2028-01-02,25mcg
222,Tensofix814,105,1.81,2028-03-11,5mcg
223,Neurodex694,119,3.22,2026-08-02,200mcg
224,Oftalex145,91,2.85,2026-08-25,5mcg
225,Lipidol866,63,3.28,2027-01-17,20mg
226,Respiron775,83,4.75,2027-02-09,ml
227,Mucodex368,74,4.17,2027-04-28,5ml
228,Hepaxin743,44,4.12,2028-06-11,10mg
229,Lipidol478,75,4.68,2028-08-05,250mg
230,Pancrelux894,80,3.5,2028-09-08,50ml
231,Mucodex350,88,1.62,2026-06-16,100ml
232,Circulon245,102,4.26,2027-01-18,5ml
233,Hepaxin496,139,3.53,2026-10-06,50mcg
234,Lipidol87,78,2.76,2027-05-03,20mcg
235,Inmunix504,98,3.9,2026-07-19,200mg
236,Musclexin133,87,3.43,2027-06-24,400mg
237,Dermacure959,146,2.04,2028-03-21,250ml
238,Gastrovil81,105,3.56,2028-04-16,500ml
239,Medicina2,35,2.49,2027-04-29,20mcg
240,Dermacure935,96,3.75,2026-08-01,250ml
241,Mucodex320,55,4.3,2026-11-11,100mcg
242,Oncofort479,126,3.42,2028-04-20,100mcg
243,Musclexin630,82,2.49,2028-05-20,50ml
244,Vasopril815,96,4.07,2027-04-14,5ml
245,Inmunix702,149,3.34,2027-09-27,100ml
246,Respiron346,124,2.91,2028-01-22,20ml
247,Pancrelux154,63,2.99,2027-06-09,5ml
248,Cardiox610,96,1.78,2026-09-14,500mg
249,Respiron382,124,3.75,2027-12-02,500ml
250,Musclexin172,60,3.31,2026-09-12,100ml
251,Oncofort30,29,2.81,2028-01-24,10mg
252,Dermacure739,119,3.41,2027-07-14,250ml
253,Cardiox280,60,1.64,2027-12-17,400ml
254,Circulon278,62,4.29,2026-06-02,20mcg
255,Lipidol569,66,3.1,2026-11-30,10mg
256,Urinex748,44,3.87,2027-10-10,500mcg
257,Nephrosan393,98,3.1,2028-04-21,20ml
258,Urinex554,38,3.11,2027-04-01,100mg
259,Nerviox800,97,2.68,2026-07-25,5ml
260,Osteofix216,123,4.76,2026-07-11,10ml
261,Circulon941,143,2.6,2027-12-20,25ml
262,Hepaxin657,50,1.84,2028-06-27,500ml
263,Circulon761,75,4.65,2028-09-07,5ml
264,Cardiox146,75,3.1,2027-09-10,10mg
265,Oncofort959,35,2.54,2027-04-23,50ml
266,Hepaxin298,133,2.25,2027-09-16,20ml
267,Farmadol569,53,4.04,2028-07-09,200mg
268,Oncofort200,85,4.63,2026-09-29,100ml
269,Digetotal,20,4.67,2028-06-07,500mg
270,Glucorex795,146,3.0,2028-08-01,10ml
271,Neurodex41,76,2.27,2027-09-29,100mcg
272,Medicina930,109,2.46,2027-12-14,500mcg
273,Dermacure884,119,1.65,2028-07-15,400ml
274,Cardiox688,33,4.64,2027-06-14,500UI/ml
275,Glucorex172,101,2.88,2026-09-14,250UI
276,Inmunix273,139,2.61,2026-10-08,250ml
277,Tensofix94,54,1.9,2026-06-16,200UI
278,Urinex63,79,3.02,2028-03-01,50ml
279,Vasopril93,150,3.75,2028-03-05,200mcg
280,Rinoflux384,69,2.84,2027-08-18,25ml
281,Dermacure439,53,4.17,2027-04-21,400mg
282,Circulon721,44,4.34,2027-05-02,100mg
283,Gastrovil795,30,3.95,2026-09-12,250UI
284,Vasopril807,63,1.86,2027-09-13,100mg
285,Tensofix524,113,2.79,2027-06-14,10mg
286,Musclexin538,111,4.77,2028-05-05,20mcg
287,Bronkocil747,98,2.25,2027-01-29,25mcg
288,Hepaxin238,72,4.37,2026-08-14,5mg
289,Pulmovit867,130,2.31,2026-09-30,5mg
290,Bronkocil738,51,2.94,2027-05-04,500mg
291,Alfusin Tablet PR,120,15.00,2026-08-31,10mg
292,Aziwok 500 Tablet,100,22.50,2025-12-15,500mg
293,Alkacitral Liquid,75,12.00,2026-03-10,5ml
294,Almox-CV 625 Tablet,90,18.75,2025-11-20,625mg
295,Azithral 100 Liquid,110,9.50,2026-01-25,5ml
296,Azee 100mg Dry Syrup,95,10.00,2025-10-18,5ml
297,Ace-Proxyvon CR Tablet,60,14.20,2025-09-12,500mg
298,Ascoril C Syrup,70,16.80,2026-02-05,10ml
299,Aprezo 30mg Tablet,50,28.90,2026-06-30,30mg
300,Apidra 100IU Cartridge,45,35.00,2026-04-14,100mg
